post_id,account_id,account_username,account_name,description,duration_sec,publish_time,permalink,post_type,data_comment,date,views,reach,likes,shares,follows,comments,saves,unnamed_18,unnamed_19,unnamed_20
17863535652395623,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",23,09/08/2025 19:54,https://www.instagram.com/reel/DOXY40_jDhx/,IG reel,,Lifetime,14767,11088,344,10,40,4,21,,,
18087661360873187,17841472782106936,v2byvelare,,"which piece ya fav?

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",11,09/08/2025 19:53,https://www.instagram.com/reel/DOXYyIUDPEb/,IG reel,,Lifetime,15144,8349,388,2,4,7,25,,,
17947264085901631,17841472782106936,v2byvelare,,"hoodie almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",13,09/08/2025 12:01,https://www.instagram.com/reel/DOWiyYeEu1r/,IG reel,,Lifetime,74939,42984,1349,38,100,13,104,,,
17971777631782278,17841472782106936,v2byvelare,,"first set out now 

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,09/08/2025 11:57,https://www.instagram.com/reel/DOWiR1QEt_C/,IG reel,,Lifetime,33830,19980,456,50,46,15,40,,,
18306524608219111,17841472782106936,v2byvelare,,"crazy pull?

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",12,09/07/2025 16:12,https://www.instagram.com/reel/DOUaHYfDK9I/,IG reel,,Lifetime,33880,21456,1013,42,18,33,77,,,
18055096331440423,17841472782106936,v2byvelare,,"cheeta season

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",10,09/07/2025 16:06,https://www.instagram.com/reel/DOUZsVsjDPY/,IG reel,,Lifetime,24632,16567,647,41,44,18,61,,,
17881938321380161,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",10,09/07/2025 14:26,https://www.instagram.com/reel/DOUOg33knN-/,IG reel,,Lifetime,88871,44054,1588,56,55,20,71,,,
18055956485169631,17841472782106936,v2byvelare,,"which pair is better?

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",15,09/07/2025 11:33,https://www.instagram.com/reel/DOT6vbgEgAA/,IG reel,,Lifetime,33818,19211,565,8,31,13,36,,,
18052903313218076,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",11,09/06/2025 18:02,https://www.instagram.com/reel/DOSCXiFjH49/,IG reel,,Lifetime,11798,6297,195,3,9,13,13,,,
18075092738107165,17841472782106936,v2byvelare,,"almost sold out💙

#trendy #cheetaprint #cheetahprint #urbanoutfitters #newyork #fashion #ootd #tracksuit #sweatshirt #hoodie #unitedstates",13,09/06/2025 13:21,https://www.instagram.com/reel/DORiP57Engy/,IG reel,,Lifetime,1722,1398,42,4,3,0,1,,,
